SizeBucket,Reward,Metric,Mean,Std,Min,Max,CI_95_Low,CI_95_High,Mean_Improvement,Std_Improvement,CI_95_Improvement_Low,CI_95_Improvement_High,Improvement_Type,N_Runs
Small,PBR,λ₂,0.26946583395236623,,0.26946583395236623,0.26946583395236623,,,48.871442771876325,0.0,,,Percentage,1
Small,PBR,AvgNodeConn,1.4,,1.4,1.4,,,7.6923076331360845,0.0,,,Percentage,1
Small,PBR,GCC_5%,0.8324315268065268,,0.8324315268065268,0.8324315268065268,,,7.208179071237572,0.0,,,Percentage,1
Small,PBR,AttackCurveAUC,0.1372752535022522,,0.1372752535022522,0.1372752535022522,,,10.687106332670748,0.0,,,Percentage,1
Small,PBR,ASPL,2.3571188774993126,,2.3571188774993126,2.3571188774993126,,,-10.450168381375756,0.0,,,Percentage,1
Small,PBR,Diameter,4.3,,4.3,4.3,,,-13.999999972000005,0.0,,,Percentage,1
Small,PBR,ArticulationPoints,2.0,,2.0,2.0,,,-16.66666659722222,0.0,,,Percentage,1
Small,PBR,Bridges,4.4,,4.4,4.4,,,-34.32835815771887,0.0,,,Percentage,1
Small,PBR,BetCentralization,8.157090755562741,,8.157090755562741,8.157090755562741,,,-1.4513761186936058,0.0,,,Absolute,1
Small,PBR,NatConnectivity,1.363099882886972,,1.363099882886972,1.363099882886972,,,18.630852735161056,0.0,,,Percentage,1
Small,PBR,EffResistance,260.74369512002477,,260.74369512002477,260.74369512002477,,,-21.121408817375382,0.0,,,Percentage,1
Small,PBR,Assortativity,-0.42493222541503267,,-0.42493222541503267,-0.42493222541503267,,,-0.015524074937986021,0.0,,,Absolute,1
Small,PBR,AvgClustering,0.18532631206967737,,0.18532631206967737,0.18532631206967737,,,0.09428462163816481,0.0,,,Absolute,1
Small,EFFRES,λ₂,0.2913068977261274,,0.2913068977261274,0.2913068977261274,,,60.93794674128908,0.0,,,Percentage,1
Small,EFFRES,AvgNodeConn,1.5,,1.5,1.5,,,15.384615266272187,0.0,,,Percentage,1
Small,EFFRES,GCC_5%,0.8114656177156178,,0.8114656177156178,0.8114656177156178,,,4.507996729717426,0.0,,,Percentage,1
Small,EFFRES,AttackCurveAUC,0.13678954688897232,,0.13678954688897232,0.13678954688897232,,,10.295473796851876,0.0,,,Percentage,1
Small,EFFRES,ASPL,2.379285967655533,,2.379285967655533,2.379285967655533,,,-9.608013494114061,0.0,,,Percentage,1
Small,EFFRES,Diameter,4.3,,4.3,4.3,,,-13.999999972000005,0.0,,,Percentage,1
Small,EFFRES,ArticulationPoints,1.8,,1.8,1.8,,,-24.99999989583333,0.0,,,Percentage,1
Small,EFFRES,Bridges,4.4,,4.4,4.4,,,-34.32835815771887,0.0,,,Percentage,1
Small,EFFRES,BetCentralization,8.431575560765713,,8.431575560765713,8.431575560765713,,,-1.1768913134906338,0.0,,,Absolute,1
